best 0.079311345, weight = 0.580109851
hybryd dove similarity_slim * weight + similarity_rp3_beta * (1-weight)
NO TOPK
trialid,accuracy,weight
146,0.079311345,0.580109851
133,0.079304682,0.579573436
168,0.079303733,0.579657519
25,0.079298886,0.603782946
132,0.079298879,0.579383856
125,0.079298618,0.578894989
197,0.079296022,0.595825246
124,0.079295126,0.595739052
161,0.079293954,0.603247364
134,0.07929365,0.576845149
181,0.079293476,0.596230662
139,0.079292908,0.576769085
131,0.079292864,0.576782681
176,0.07929269,0.602462431
113,0.079292473,0.604990695
135,0.079291962,0.576919568
128,0.079291307,0.577147178
152,0.079290317,0.577026951
154,0.079289043,0.577707349
77,0.079289007,0.577719117
174,0.079287892,0.602088945
191,0.079287276,0.601895605
188,0.079285182,0.590642809
71,0.079285057,0.590685731
164,0.079284215,0.60599175
26,0.079283427,0.605596344
51,0.079282581,0.590221504
61,0.079281214,0.593320523
111,0.079280228,0.600441048
69,0.079279725,0.593726427
17,0.079279278,0.597122093
43,0.079279212,0.605125842
98,0.079278199,0.598611291
63,0.079277844,0.598474676
101,0.079277679,0.59851072
32,0.079277576,0.593213445
41,0.079277362,0.598435321
72,0.079277245,0.580618197
91,0.079276795,0.60098522
192,0.079273348,0.581131894
172,0.079268192,0.592718725
151,0.079267672,0.591365191
84,0.079267323,0.591140314
92,0.07926688,0.591546743
120,0.079266028,0.589933467
159,0.079262841,0.58456993
163,0.079260716,0.581557136
193,0.07926068,0.599783547
171,0.079260521,0.584047841
21,0.079260372,0.584042581
110,0.079259378,0.583376236
141,0.079256583,0.582979683
182,0.079255999,0.582540438
105,0.079252931,0.599406647
52,0.07924997,0.58623783
155,0.079247258,0.574827471
35,0.079245415,0.585594903
102,0.079243546,0.574268726
42,0.079241046,0.685230031
136,0.079240421,0.573402018
78,0.079239236,0.573957008
93,0.079238843,0.575618631
18,0.07923691,0.57273306
118,0.079228573,0.607444105
116,0.079223582,0.572102393
184,0.079221525,0.571772479
109,0.079216484,0.687265155
59,0.079215586,0.689767732
194,0.079210346,0.642987174
60,0.079209135,0.657078829
86,0.079208798,0.570778408
170,0.079208613,0.571529187
179,0.07920838,0.63697298
16,0.079207472,0.637546086
81,0.079207333,0.60778522
11,0.079202969,0.654535734
74,0.079202513,0.653213903
53,0.079201762,0.647170103
165,0.079201308,0.654033733
96,0.079200933,0.654073606
150,0.079198172,0.636520267
114,0.079197779,0.63658685
30,0.079197594,0.636159851
144,0.079195536,0.568558751
47,0.079195509,0.671259721
64,0.07919514,0.642294534
85,0.079194786,0.644883019
14,0.079191918,0.674960103
195,0.079191297,0.56994693
89,0.079190908,0.670073426
123,0.079190265,0.645808404
106,0.079185961,0.645203524
49,0.079183527,0.667939416
157,0.079182859,0.567791327
40,0.079178686,0.610621553
196,0.079178672,0.610619917
55,0.079178124,0.612254901
178,0.079177695,0.609949624
100,0.079177361,0.669587286
153,0.079176929,0.61202945
183,0.079176623,0.609491408
88,0.07917497,0.609149545
76,0.07917353,0.679118287
62,0.079169762,0.630754988
173,0.079168728,0.633327164
90,0.079168213,0.631082551
138,0.079165492,0.628741191
190,0.079164553,0.614954951
185,0.079160733,0.661287246
12,0.079160453,0.662398659
115,0.079159714,0.662176741
31,0.079158409,0.626275303
187,0.079158222,0.627007973
103,0.079157523,0.62717919
97,0.079157391,0.619097279
82,0.079157166,0.630392684
160,0.079153582,0.621521667
73,0.07915311,0.619333164
57,0.079151215,0.565180358
107,0.079151069,0.617959238
121,0.079148763,0.619357921
45,0.079148243,0.616597755
145,0.079147912,0.617165177
167,0.079144187,0.619569657
95,0.079123716,0.696001394
142,0.079110528,0.563503734
68,0.079105775,0.702665719
34,0.079104412,0.706845247
180,0.079100982,0.562153086
65,0.079099765,0.564502585
13,0.079098672,0.704967602
29,0.079063688,0.718186711
175,0.079038232,0.558281436
126,0.079036407,0.558968646
54,0.079035507,0.558517749
189,0.079015136,0.557975006
122,0.079015121,0.557962335
22,0.079014983,0.55793042
162,0.079013075,0.557431056
104,0.079008611,0.557330408
94,0.078996407,0.554799082
46,0.078987604,0.726222463
67,0.078984942,0.729621101
20,0.078959633,0.553825035
50,0.078959574,0.528779119
83,0.078958406,0.547631136
158,0.07895798,0.529800018
166,0.07895631,0.54759678
58,0.078956256,0.528927416
129,0.078947904,0.54315448
99,0.078945207,0.533210158
87,0.078943957,0.53267676
10,0.078941436,0.544823695
137,0.078940927,0.527397275
66,0.078940569,0.544998663
156,0.078939642,0.544765957
8,0.078939569,0.532059809
75,0.078938018,0.544539775
44,0.078937086,0.527157356
149,0.078936492,0.551961852
198,0.07893551,0.544192879
112,0.078933708,0.551325274
143,0.078919367,0.53894967
186,0.078917015,0.537782217
27,0.07891552,0.748011731
119,0.078911166,0.537104889
177,0.07891116,0.537140432
127,0.078905177,0.521493216
24,0.07890152,0.76161433
117,0.078892537,0.51515644
147,0.078884489,0.518370146
79,0.078882449,0.513609765
199,0.078870966,0.517588306
169,0.078857462,0.509111801
108,0.078855678,0.509835499
38,0.078829723,0.506503172
48,0.078822056,0.504117005
28,0.078806872,0.846522552
15,0.078804119,0.817200534
36,0.078791605,0.781681334
148,0.078760399,0.498179521
70,0.078759953,0.498124247
4,0.078757767,0.786912369
130,0.078716026,0.493099317
33,0.078587106,0.484420554
80,0.078582368,0.482663981
140,0.07854399,0.475967617
23,0.078515281,0.467939522
56,0.078505796,0.45026757
19,0.078501923,0.461868418
5,0.078345233,0.911280774
6,0.07827753,0.412111948
37,0.078265723,0.411576165
3,0.078150318,0.946086487
2,0.077913851,0.346092603
39,0.077893551,0.986937819
0,0.07777296,0.998093386
7,0.077618635,0.296641916
9,0.075762407,0.079331785
1,0.074838913,0.005318316
