EASER Recall optimization, step1.
topK[1, 20000], l2_norm[1e-5, 1000], normalize_matrix = False
best: accuracy 0.13561422086979807 and parameters: {'topK': 1339, 'l2_norm': 227.09374680918643}
topK,l2_norm,result
4978.0,817.3039899403808,0.12648311343457713
15839.0,621.8321454619027,0.128123754690238
144.0,423.57054074107,0.1318074885025687
18896.0,280.6421692159001,0.1329733503153835
12405.0,254.22142790109967,0.1334733759465635
14000.0,915.6278408805396,0.125351580198145
12717.0,876.1138217550929,0.1256325538967071
15487.0,354.93875612456713,0.13251887718634786
12075.0,466.89336963690886,0.13083449000211292
4934.0,378.3371979533577,0.13145523117156085
8387.0,86.14590551894747,0.1340656795409449
8797.0,7.92582311837198,0.11430754285288958
8423.0,86.99747161450719,0.13387922273648006
7611.0,17.001573851512774,0.12253194557092466
5706.0,172.5229289153716,0.13325922397226433
1907.0,134.77618634774115,0.13503346929509571
45.0,594.9848563182575,0.12925977944543268
2623.0,156.04436015993195,0.13396412856809975
2461.0,184.63856715478232,0.13434480068801977
2552.0,583.2268480372632,0.12914023796443427
2639.0,259.5275184183131,0.133186945103293
6365.0,114.06483544367845,0.1337135002826993
10506.0,186.89830021272024,0.133004858776876
3602.0,74.24104581262299,0.13302517880391923
1364.0,226.6875089678985,0.13538696081668755
713.0,308.4194744136121,0.13355513888109882
1614.0,212.70600503279974,0.13517575570430063
1339.0,227.09374680918643,0.13561422086979807
3962.0,528.4281562992347,0.1292190453919157
1157.0,345.707758496477,0.13298719103892515
4326.0,710.1228497481407,0.12738209967454814
1291.0,243.79784504649797,0.13524108124793724
1362.0,220.80346220904153,0.13547654653375102
6167.0,402.84230752903153,0.13127822750276613
46.0,246.15035199904656,0.13552459559528385
18717.0,996.2007821810575,0.12507731519498735
82.0,304.59549135390705,0.13352275433853455
3160.0,677.4027491200743,0.1278110492348841
4685.0,310.5715259694316,0.13271729200512083
1162.0,470.41436489833694,0.13094512426295937
5454.0,227.12709833055644,0.13340601093000895
1578.0,252.6164040301356,0.13431029533439623
766.0,414.2929955035406,0.13139618501708825
21.0,341.3721260703621,0.1323189513143114
3433.0,242.3739828289454,0.133049825469178
1603.0,43.37545881106661,0.13440429915580193
2225.0,122.05179170783533,0.13456124587745313
949.0,281.03802683796755,0.13383136080314165
3206.0,212.08960469645547,0.13360505221377258
10557.0,356.8155984101366,0.13226159358439293
