topK,l1_ratio,alpha,result
8550.0,0.007879817730287524,0.0776491734544195,0.0714670111152677
7428.0,0.018834871425729253,0.005396967370602459,0.09283885711777455
4650.0,0.04278074406784552,0.07451788151185637,0.05412617331786307
6740.0,0.09770852288633414,0.020075528556744215,0.06444468270126205
7846.0,0.015382726330641147,0.010383101909031208,0.08878897998194572
5934.0,0.022984374219627134,0.055301956172035496,0.06712894591021001
8548.0,0.06314030664972087,0.04437667045605338,0.05723128342216101
9242.0,0.060206033474452296,0.060388578386832224,0.05265841560092235
5451.0,0.06256599274976056,0.09509622699054615,0.043793736384618934
5162.0,0.0002709008784495431,0.09832824570369646,0.07546834208198101
1841.0,0.03039005817760401,0.0014108390150654355,0.09531671240395748
1677.0,0.030835838446733568,0.0013249639367114128,0.09509120099740222
1249.0,0.03417818742578201,0.0024196733570984244,0.09513452061043505
2.0,0.035687908465491525,0.025114724532236978,0.059930482046606205
2936.0,0.04579200483947582,0.01969565270886347,0.07436523495895193
2493.0,0.029655019100687498,0.03536471648328024,0.07078173581166032
349.0,0.036970100259822176,0.0014455735079832305,0.09344057818887386
3881.0,0.04914688540960988,0.015180873872026147,0.0773033719691998
1396.0,0.023658204787157112,0.02655646677116383,0.07654508721773846
3683.0,0.010453491253552924,0.010768672752227452,0.08972502773885149
1390.0,0.027699370702608448,0.033794157080934334,0.0720758309154217
1668.0,0.03472626719389679,0.0008147832928537151,0.09283300775612062
2756.0,0.027559983544584735,0.0011475331727456336,0.09385513924857476
1234.0,0.04052321580010336,0.01208069697532781,0.08197394098663352
2077.0,0.018475542237096878,0.008294119246951545,0.09012096354700852
577.0,0.031034970703776078,0.015599292006281714,0.08086995311441565
3549.0,0.053224613555549694,0.0004750403738959495,0.09000153334800289
568.0,0.03956535821795502,0.0073353582596078735,0.08777743787260263
2245.0,0.02384020051081694,0.022637918565243626,0.07853628330142251
4536.0,0.011002521745593668,0.016595451628948644,0.08608026844791765
3202.0,0.0020679616101270046,0.008166116866735768,0.09155544903889735
2723.0,0.03142074388698777,0.00032015101703370135,0.0848482697464346
925.0,0.017029046622281052,0.00556864777362552,0.09299070330435552
1948.0,0.025473076478483184,0.005510833439995772,0.091883753722698
4174.0,0.03253619964451677,0.014706626910413141,0.08131335077669218
3065.0,0.040685461899002726,0.010801095864273389,0.08331497876718758
1897.0,0.020531249397491312,0.00031335343523191663,0.08326673071119102
2520.0,0.014368228167751424,0.02059960057415415,0.08298691056313012
1123.0,0.027054932246054052,0.0061608055782254555,0.0910301480881144
6001.0,0.04542270935643557,0.011427162443349185,0.08170164740731826
843.0,0.021921864927111696,0.02778071451197591,0.07656642266762322
84.0,0.037176261680112975,0.004407709432555244,0.09166723421186213
276.0,0.0366247162292659,0.0040190798804734945,0.09288484561447116
1748.0,0.031552144196958155,2.1156098777833608e-05,0.06379085349120972
9838.0,0.04338186055501349,0.018427274475830827,0.07596803195818798
453.0,0.02747650998480726,0.01496861753250436,0.08226624385684508
7352.0,0.03626984708597836,0.010608162483864078,0.08448688031277915
1430.0,0.02080124337848611,0.0049683017853447975,0.09317101510274761
2393.0,0.04856966797460316,0.01197444266049102,0.08059424572459896
907.0,0.029074364913332748,0.019521474294976637,0.07889543390616682
